character,category,url,filepath
一,jiaguwen,https://img.zdic.net/zy/jiaguwen/41_E000.svg,hanzi_img/一\jiaguwen-41_E000.jpg
一,jinwen,https://img.zdic.net/zy/jinwen/31_E000.svg,hanzi_img/一\jinwen-31_E000.jpg
一,chuwenzi,https://img.zdic.net/zy/chuwenzi/51_E00D.svg,hanzi_img/一\chuwenzi-51_E00D.jpg
一,xiaozhuan,https://img.zdic.net/zy/xiaozhuan/27_E000.svg,hanzi_img/一\xiaozhuan-27_E000.jpg
一,qinwenzi,https://img.zdic.net/zy/qinwenzi/71_E000.svg,hanzi_img/一\qinwenzi-71_E000.jpg
一,tw,https://img.zdic.net/kai/tw/4E00.svg,hanzi_img/一\tw-4E00.jpg
一,chuwenzi,https://img.zdic.net/zy/chuwenzi/55_E058.svg,hanzi_img/一\chuwenzi-55_E058.jpg
一,xiaozhuan,https://img.zdic.net/zy/xiaozhuan/27_4E00.svg,hanzi_img/一\xiaozhuan-27_4E00.jpg
儿,xiaozhuan,https://img.zdic.net/zy/xiaozhuan/27_513F.svg,hanzi_img/儿\xiaozhuan-27_513F.jpg
儿,tw,https://img.zdic.net/kai/tw/5152.svg,hanzi_img/儿\tw-5152.jpg
儿,tw,https://img.zdic.net/kai/tw/513F.svg,hanzi_img/儿\tw-513F.jpg
儿,tw,https://img.zdic.net/kai/tw/513F.svg,hanzi_img/儿\tw-513F.jpg
乂,jiaguwen,https://img.zdic.net/zy/jiaguwen/43_EE62.svg,hanzi_img/乂\jiaguwen-43_EE62.jpg
乂,jinwen,https://img.zdic.net/zy/jinwen/38_EFC5.svg,hanzi_img/乂\jinwen-38_EFC5.jpg
乂,xiaozhuan,https://img.zdic.net/zy/xiaozhuan/27_4E42.svg,hanzi_img/乂\xiaozhuan-27_4E42.jpg
乂,tw,https://img.zdic.net/kai/tw/4E42.svg,hanzi_img/乂\tw-4E42.jpg
乂,jiaguwen,https://img.zdic.net/zy/jiaguwen/41_ECB1.svg,hanzi_img/乂\jiaguwen-41_ECB1.jpg
