character,category,url,filepath,character_encoder
一,jiaguwen,https://img.zdic.net/zy/jiaguwen/41_E000.svg,hanzi_img/一\jiaguwen-41_E000.jpg,0
乂,jiaguwen,https://img.zdic.net/zy/jiaguwen/43_EE62.svg,hanzi_img/乂\jiaguwen-43_EE62.jpg,25
乂,jiaguwen,https://img.zdic.net/zy/jiaguwen/41_ECB1.svg,hanzi_img/乂\jiaguwen-41_ECB1.jpg,25
乂,jiaguwen,https://img.zdic.net/zy/jiaguwen/41_ECA8.svg,hanzi_img/乂\jiaguwen-41_ECA8.jpg,25
入,jiaguwen,https://img.zdic.net/zy/jiaguwen/42_E7C5.svg,hanzi_img/入\jiaguwen-42_E7C5.jpg,107
入,jiaguwen,https://img.zdic.net/zy/jiaguwen/42_E7D4.svg,hanzi_img/入\jiaguwen-42_E7D4.jpg,107
人,jiaguwen,https://img.zdic.net/zy/jiaguwen/42_F47D.svg,hanzi_img/人\jiaguwen-42_F47D.jpg,59
人,jiaguwen,https://img.zdic.net/zy/jiaguwen/42_F47E.svg,hanzi_img/人\jiaguwen-42_F47E.jpg,59
人,jiaguwen,https://img.zdic.net/zy/jiaguwen/42_F47F.svg,hanzi_img/人\jiaguwen-42_F47F.jpg,59
八,jiaguwen,https://img.zdic.net/zy/jiaguwen/41_E38E.svg,hanzi_img/八\jiaguwen-41_E38E.jpg,108
八,jiaguwen,https://img.zdic.net/zy/jiaguwen/41_E396.svg,hanzi_img/八\jiaguwen-41_E396.jpg,108
卜,jiaguwen,https://img.zdic.net/zy/jiaguwen/41_F2FE.svg,hanzi_img/卜\jiaguwen-41_F2FE.jpg,170
卜,jiaguwen,https://img.zdic.net/zy/jiaguwen/41_F2F7.svg,hanzi_img/卜\jiaguwen-41_F2F7.jpg,170
七,jiaguwen,https://img.zdic.net/zy/jiaguwen/43_F568.svg,hanzi_img/七\jiaguwen-43_F568.jpg,2
丁,jiaguwen,https://img.zdic.net/zy/jiaguwen/43_F66F.svg,hanzi_img/丁\jiaguwen-43_F66F.jpg,1
丁,jiaguwen,https://img.zdic.net/zy/jiaguwen/43_F670.svg,hanzi_img/丁\jiaguwen-43_F670.jpg,1
丁,jiaguwen,https://img.zdic.net/zy/jiaguwen/43_F671.svg,hanzi_img/丁\jiaguwen-43_F671.jpg,1
十,jiaguwen,https://img.zdic.net/zy/jiaguwen/41_EC21.svg,hanzi_img/十\jiaguwen-41_EC21.jpg,162
二,jiaguwen,https://img.zdic.net/zy/jiaguwen/43_F23E.svg,hanzi_img/二\jiaguwen-43_F23E.jpg,42
灞,jiaguwen,https://img.zdic.net/zy/jiaguwen/44_E26E.svg,hanzi_img/灞\jiaguwen-44_E26E.jpg,627
